testcase,num_ants,alpha,beta,rho,cost_min,cost_avg
dist_cluster_35_N30_M300,50,1.0,2.0,0.1,43582,44057.0
dist_cluster_35_N30_M300,50,1.0,3.0,0.1,32695,33338.333333
dist_cluster_35_N30_M300,50,1.0,4.0,0.1,32131,32689.333333
dist_cluster_35_N30_M300,50,2.0,2.0,0.1,36239,37180.0
dist_cluster_35_N30_M300,50,2.0,3.0,0.1,34066,34518.333333
dist_cluster_35_N30_M300,50,2.0,4.0,0.1,34321,34621.666667
dist_cluster_35_N30_M300,100,1.0,2.0,0.1,42294,44827.666667
dist_cluster_35_N30_M300,100,1.0,3.0,0.1,32920,33264.333333
dist_cluster_35_N30_M300,100,1.0,4.0,0.1,32221,32617.666667
dist_cluster_35_N30_M300,100,2.0,2.0,0.1,37130,37277.0
dist_cluster_35_N30_M300,100,2.0,3.0,0.1,34196,34701.0
dist_cluster_35_N30_M300,100,2.0,4.0,0.1,33607,33821.666667
dist_corner_31_N15_M150,50,1.0,2.0,0.1,14662,14771.333333
dist_corner_31_N15_M150,50,1.0,3.0,0.1,14865,15114.0
dist_corner_31_N15_M150,50,1.0,4.0,0.1,15392,15570.333333
dist_corner_31_N15_M150,50,2.0,2.0,0.1,15795,16313.0
dist_corner_31_N15_M150,50,2.0,3.0,0.1,15720,15918.666667
dist_corner_31_N15_M150,50,2.0,4.0,0.1,15750,15773.333333
dist_corner_31_N15_M150,100,1.0,2.0,0.1,14660,14831.333333
dist_corner_31_N15_M150,100,1.0,3.0,0.1,14953,15055.666667
dist_corner_31_N15_M150,100,1.0,4.0,0.1,15415,15510.0
dist_corner_31_N15_M150,100,2.0,2.0,0.1,15141,15818.333333
dist_corner_31_N15_M150,100,2.0,3.0,0.1,15845,16365.666667
dist_corner_31_N15_M150,100,2.0,4.0,0.1,15964,16180.0
dist_diagonal_38_N30_M300,50,1.0,2.0,0.1,56770,59026.333333
dist_diagonal_38_N30_M300,50,1.0,3.0,0.1,44418,45203.333333
dist_diagonal_38_N30_M300,50,1.0,4.0,0.1,41441,42413.333333
dist_diagonal_38_N30_M300,50,2.0,2.0,0.1,46984,48664.0
dist_diagonal_38_N30_M300,50,2.0,3.0,0.1,42270,44454.666667
dist_diagonal_38_N30_M300,50,2.0,4.0,0.1,42532,43275.666667
dist_diagonal_38_N30_M300,100,1.0,2.0,0.1,56117,59459.333333
dist_diagonal_38_N30_M300,100,1.0,3.0,0.1,47288,47879.0
dist_diagonal_38_N30_M300,100,1.0,4.0,0.1,42736,44717.0
dist_diagonal_38_N30_M300,100,2.0,2.0,0.1,46360,48077.666667
dist_diagonal_38_N30_M300,100,2.0,3.0,0.1,42608,43460.333333
dist_diagonal_38_N30_M300,100,2.0,4.0,0.1,42401,43418.666667
edge_N1_24_N1_M500,50,1.0,2.0,0.1,289945,298002.666667
edge_N1_24_N1_M500,50,1.0,3.0,0.1,183903,187322.666667
edge_N1_24_N1_M500,50,1.0,4.0,0.1,161294,163673.0
edge_N1_24_N1_M500,50,2.0,2.0,0.1,162579,163702.666667
edge_N1_24_N1_M500,50,2.0,3.0,0.1,146942,150809.666667
edge_N1_24_N1_M500,50,2.0,4.0,0.1,139432,142585.0
edge_N1_24_N1_M500,100,1.0,2.0,0.1,292934,295884.666667
edge_N1_24_N1_M500,100,1.0,3.0,0.1,180079,184134.333333
edge_N1_24_N1_M500,100,1.0,4.0,0.1,160818,163806.333333
edge_N1_24_N1_M500,100,2.0,2.0,0.1,171786,180302.333333
edge_N1_24_N1_M500,100,2.0,3.0,0.1,148577,149548.666667
edge_N1_24_N1_M500,100,2.0,4.0,0.1,144309,146559.666667
edge_dense_30_N50_M1000,50,1.0,2.0,0.1,672,672.0
edge_dense_30_N50_M1000,50,1.0,3.0,0.1,672,672.0
edge_dense_30_N50_M1000,50,1.0,4.0,0.1,672,672.0
edge_dense_30_N50_M1000,50,2.0,2.0,0.1,672,672.0
edge_dense_30_N50_M1000,50,2.0,3.0,0.1,672,672.0
edge_dense_30_N50_M1000,50,2.0,4.0,0.1,672,672.0
edge_dense_30_N50_M1000,100,1.0,2.0,0.1,672,672.0
edge_dense_30_N50_M1000,100,1.0,3.0,0.1,672,672.0
edge_dense_30_N50_M1000,100,1.0,4.0,0.1,672,672.0
