testcase,num_ants,alpha,beta,rho,k,cost
dist_cluster_35_N30_M300,50,2.0,2.0,0.1,1,36239
dist_cluster_35_N30_M300,50,1.0,3.0,0.1,2,33476
dist_cluster_35_N30_M300,50,1.0,4.0,0.1,2,32131
dist_cluster_35_N30_M300,50,1.0,2.0,0.1,2,44685
dist_cluster_35_N30_M300,50,1.0,2.0,0.1,1,43904
dist_cluster_35_N30_M300,50,2.0,3.0,0.1,2,34613
dist_cluster_35_N30_M300,50,1.0,4.0,0.1,1,32657
dist_cluster_35_N30_M300,50,2.0,3.0,0.1,1,34876
dist_cluster_35_N30_M300,50,2.0,2.0,0.1,2,37376
dist_cluster_35_N30_M300,50,2.0,3.0,0.1,0,34066
dist_cluster_35_N30_M300,50,1.0,2.0,0.1,0,43582
dist_cluster_35_N30_M300,50,1.0,3.0,0.1,1,33844
dist_cluster_35_N30_M300,50,1.0,4.0,0.1,0,33280
dist_cluster_35_N30_M300,50,1.0,3.0,0.1,0,32695
dist_cluster_35_N30_M300,50,2.0,2.0,0.1,0,37925
dist_cluster_35_N30_M300,50,2.0,4.0,0.1,0,34321
dist_cluster_35_N30_M300,100,1.0,2.0,0.1,1,48283
dist_cluster_35_N30_M300,100,1.0,2.0,0.1,0,42294
dist_cluster_35_N30_M300,50,2.0,4.0,0.1,2,34894
dist_cluster_35_N30_M300,50,2.0,4.0,0.1,1,34650
dist_cluster_35_N30_M300,100,1.0,2.0,0.1,2,43906
dist_cluster_35_N30_M300,100,1.0,4.0,0.1,1,32706
dist_cluster_35_N30_M300,100,1.0,4.0,0.1,0,32926
dist_cluster_35_N30_M300,100,1.0,3.0,0.1,2,33706
dist_cluster_35_N30_M300,100,1.0,3.0,0.1,0,32920
dist_cluster_35_N30_M300,100,1.0,3.0,0.1,1,33167
dist_cluster_35_N30_M300,100,2.0,2.0,0.1,1,37130
dist_cluster_35_N30_M300,100,1.0,4.0,0.1,2,32221
dist_cluster_35_N30_M300,100,2.0,2.0,0.1,0,37222
dist_cluster_35_N30_M300,100,2.0,2.0,0.1,2,37479
dist_cluster_35_N30_M300,100,2.0,3.0,0.1,0,35669
dist_cluster_35_N30_M300,100,2.0,3.0,0.1,2,34238
dist_cluster_35_N30_M300,100,2.0,4.0,0.1,1,33607
dist_cluster_35_N30_M300,100,2.0,3.0,0.1,1,34196
dist_cluster_35_N30_M300,100,2.0,4.0,0.1,0,33899
dist_corner_31_N15_M150,50,1.0,2.0,0.1,0,14662
dist_corner_31_N15_M150,50,1.0,2.0,0.1,1,14744
dist_corner_31_N15_M150,50,1.0,2.0,0.1,2,14908
dist_corner_31_N15_M150,50,1.0,3.0,0.1,0,14865
dist_corner_31_N15_M150,50,1.0,3.0,0.1,1,15114
dist_corner_31_N15_M150,50,1.0,3.0,0.1,2,15363
dist_cluster_35_N30_M300,100,2.0,4.0,0.1,2,33959
dist_corner_31_N15_M150,50,1.0,4.0,0.1,0,15849
dist_corner_31_N15_M150,50,1.0,4.0,0.1,1,15470
dist_corner_31_N15_M150,50,1.0,4.0,0.1,2,15392
