testcase,pop_size,crossover_rate,mutation_rate,cost_min,cost_avg
dist_cluster_35_N30_M300,100,0.7,0.05,31554,31609.333333
dist_cluster_35_N30_M300,100,0.7,0.1,31609,31665.666667
dist_cluster_35_N30_M300,100,0.7,0.2,31652,31680.0
dist_cluster_35_N30_M300,100,0.8,0.05,31609,31627.666667
dist_cluster_35_N30_M300,100,0.8,0.1,31609,31637.666667
dist_cluster_35_N30_M300,100,0.8,0.2,31652,31690.0
dist_cluster_35_N30_M300,100,0.9,0.05,31609,31637.666667
dist_cluster_35_N30_M300,100,0.9,0.1,31652,31680.0
dist_cluster_35_N30_M300,100,0.9,0.2,31609,31665.666667
dist_cluster_35_N30_M300,200,0.7,0.05,31622,31642.0
dist_cluster_35_N30_M300,200,0.7,0.1,31609,31637.666667
dist_cluster_35_N30_M300,200,0.7,0.2,31569,31610.0
dist_cluster_35_N30_M300,200,0.8,0.05,31609,31675.666667
dist_cluster_35_N30_M300,200,0.8,0.1,31609,31637.666667
dist_cluster_35_N30_M300,200,0.8,0.2,31609,31665.666667
dist_cluster_35_N30_M300,200,0.9,0.05,31609,31665.666667
dist_cluster_35_N30_M300,200,0.9,0.1,31609,31609.0
dist_cluster_35_N30_M300,200,0.9,0.2,31652,31680.0
dist_corner_31_N15_M150,100,0.7,0.05,14413,14494.666667
dist_corner_31_N15_M150,100,0.7,0.1,14417,14517.666667
dist_corner_31_N15_M150,100,0.7,0.2,14590,14606.666667
dist_corner_31_N15_M150,100,0.8,0.05,14413,14512.0
dist_corner_31_N15_M150,100,0.8,0.1,14518,14532.333333
dist_corner_31_N15_M150,100,0.8,0.2,14595,14606.333333
dist_corner_31_N15_M150,100,0.9,0.05,14629,14640.333333
dist_corner_31_N15_M150,100,0.9,0.1,14458,14526.666667
dist_corner_31_N15_M150,100,0.9,0.2,14519,14576.0
dist_corner_31_N15_M150,200,0.7,0.05,14417,14463.0
dist_corner_31_N15_M150,200,0.7,0.1,14458,14541.666667
dist_corner_31_N15_M150,200,0.7,0.2,14554,14588.666667
dist_corner_31_N15_M150,200,0.8,0.05,14413,14473.333333
dist_corner_31_N15_M150,200,0.8,0.1,14502,14507.0
dist_corner_31_N15_M150,200,0.8,0.2,14593,14660.666667
dist_corner_31_N15_M150,200,0.9,0.05,14417,14450.666667
dist_corner_31_N15_M150,200,0.9,0.1,14509,14509.333333
dist_corner_31_N15_M150,200,0.9,0.2,14649,14661.333333
dist_diagonal_38_N30_M300,100,0.7,0.05,37583,37927.666667
dist_diagonal_38_N30_M300,100,0.7,0.1,37656,37717.0
dist_diagonal_38_N30_M300,100,0.7,0.2,38052,38386.666667
dist_diagonal_38_N30_M300,100,0.8,0.05,37554,37725.333333
dist_diagonal_38_N30_M300,100,0.8,0.1,37535,37667.333333
dist_diagonal_38_N30_M300,100,0.8,0.2,37920,37967.333333
dist_diagonal_38_N30_M300,100,0.9,0.05,37613,37755.666667
dist_diagonal_38_N30_M300,100,0.9,0.1,37577,37771.333333
dist_diagonal_38_N30_M300,100,0.9,0.2,37827,37894.666667
dist_diagonal_38_N30_M300,200,0.7,0.05,37656,37791.666667
dist_diagonal_38_N30_M300,200,0.7,0.1,37554,37735.0
dist_diagonal_38_N30_M300,200,0.7,0.2,37719,37948.333333
dist_diagonal_38_N30_M300,200,0.8,0.05,37418,37687.333333
dist_diagonal_38_N30_M300,200,0.8,0.1,37782,37812.0
dist_diagonal_38_N30_M300,200,0.8,0.2,37827,37865.0
dist_diagonal_38_N30_M300,200,0.9,0.05,37404,37573.666667
dist_diagonal_38_N30_M300,200,0.9,0.1,37542,37696.666667
dist_diagonal_38_N30_M300,200,0.9,0.2,37827,37838.333333
edge_N1_24_N1_M500,100,0.7,0.05,139285,140684.0
edge_N1_24_N1_M500,100,0.7,0.1,144555,147200.666667
edge_N1_24_N1_M500,100,0.7,0.2,151416,152735.0
edge_N1_24_N1_M500,100,0.8,0.05,135406,139276.333333
edge_N1_24_N1_M500,100,0.8,0.1,144982,146231.333333
edge_N1_24_N1_M500,100,0.8,0.2,151761,152649.0
edge_N1_24_N1_M500,100,0.9,0.05,133705,135898.333333
