testcase,pop_size,crossover_rate,mutation_rate,k,cost
dist_cluster_35_N30_M300,100,0.7,0.05,2,31622
dist_cluster_35_N30_M300,100,0.7,0.1,2,31652
dist_cluster_35_N30_M300,100,0.7,0.05,1,31554
dist_cluster_35_N30_M300,100,0.7,0.1,0,31609
dist_cluster_35_N30_M300,100,0.8,0.05,0,31652
dist_cluster_35_N30_M300,100,0.8,0.1,0,31652
dist_cluster_35_N30_M300,100,0.8,0.05,1,31622
dist_cluster_35_N30_M300,100,0.7,0.2,2,31652
dist_cluster_35_N30_M300,100,0.8,0.1,1,31609
dist_cluster_35_N30_M300,100,0.8,0.05,2,31609
dist_cluster_35_N30_M300,100,0.7,0.05,0,31652
dist_cluster_35_N30_M300,100,0.7,0.1,1,31736
dist_cluster_35_N30_M300,100,0.7,0.2,0,31652
dist_cluster_35_N30_M300,100,0.7,0.2,1,31736
dist_cluster_35_N30_M300,100,0.8,0.1,2,31652
dist_cluster_35_N30_M300,100,0.8,0.2,1,31736
dist_cluster_35_N30_M300,100,0.8,0.2,0,31652
dist_cluster_35_N30_M300,100,0.8,0.2,2,31682
dist_cluster_35_N30_M300,100,0.9,0.05,1,31652
dist_cluster_35_N30_M300,100,0.9,0.05,0,31652
dist_cluster_35_N30_M300,100,0.9,0.05,2,31609
dist_cluster_35_N30_M300,100,0.9,0.2,0,31609
dist_cluster_35_N30_M300,100,0.9,0.1,2,31652
dist_cluster_35_N30_M300,100,0.9,0.1,1,31736
dist_cluster_35_N30_M300,100,0.9,0.1,0,31652
dist_cluster_35_N30_M300,100,0.9,0.2,1,31736
dist_cluster_35_N30_M300,100,0.9,0.2,2,31652
dist_cluster_35_N30_M300,200,0.7,0.05,0,31622
dist_cluster_35_N30_M300,200,0.7,0.1,1,31652
dist_cluster_35_N30_M300,200,0.7,0.2,0,31652
dist_cluster_35_N30_M300,200,0.7,0.05,2,31652
dist_cluster_35_N30_M300,200,0.7,0.1,0,31652
dist_cluster_35_N30_M300,200,0.7,0.1,2,31609
dist_cluster_35_N30_M300,200,0.8,0.05,1,31736
dist_cluster_35_N30_M300,200,0.8,0.05,0,31682
dist_cluster_35_N30_M300,200,0.7,0.05,1,31652
dist_cluster_35_N30_M300,200,0.8,0.1,0,31652
dist_cluster_35_N30_M300,200,0.7,0.2,1,31569
dist_cluster_35_N30_M300,200,0.8,0.05,2,31609
dist_cluster_35_N30_M300,200,0.7,0.2,2,31609
dist_cluster_35_N30_M300,200,0.8,0.1,2,31652
dist_cluster_35_N30_M300,200,0.8,0.1,1,31609
dist_cluster_35_N30_M300,200,0.8,0.2,0,31652
dist_cluster_35_N30_M300,200,0.8,0.2,1,31736
dist_cluster_35_N30_M300,200,0.9,0.1,0,31609
dist_cluster_35_N30_M300,200,0.9,0.05,2,31609
dist_cluster_35_N30_M300,200,0.9,0.1,1,31609
dist_cluster_35_N30_M300,200,0.9,0.2,1,31736
dist_cluster_35_N30_M300,200,0.9,0.2,0,31652
dist_cluster_35_N30_M300,200,0.8,0.2,2,31609
