testcase,cost_min,cost_max,cost_avg,cost_std,t_best_avg
dist_cluster_35_N30_M300,27764,28623,28111.333333,369.435906,393.449767
dist_corner_31_N15_M150,16614,16694,16641.666667,37.025517,375.434133
dist_diagonal_39_N50_M800,191947,228300,214894.333333,16302.713564,878.613067
edge_N1_23_N1_M300,7299,7689,7545.333333,174.986349,142.0578
edge_dense_30_N50_M1000,1430,1430,1430.0,0.0,0.000733
edge_infeas_26_N30_M200,-1,-1,-1,-1,-1
edge_sparse_27_N40_M800,444355,506647,484750.666667,28597.695902,625.108067
large_18_N40_M500,192362,218684,207470.0,11093.071351,785.442633
large_20_N50_M800,554657,566389,559006.666667,5247.71419,804.440533
large_22_N50_M1000,612768,763136,684094.0,61629.464533,829.571633
medium_09_N15_M150,25647,27089,26210.333333,629.506332,241.764967
medium_15_N30_M300,79212,91665,85150.0,5100.261366,389.6558
medium_17_N35_M400,122068,131291,127862.333333,4120.130769,319.688533
small_01_N2_M5,148,148,148.0,0.0,3.3e-05
small_03_N5_M10,576,576,576.0,0.0,0.001033
small_05_N10_M20,1242,1242,1242.0,0.0,0.7284
