testcase,num_ants,alpha,beta,rho,k,cost,t_best
edge_infeas_26_N30_M200,50,1.0,4.0,0.1,0,-1,-1.0
edge_infeas_26_N30_M200,50,1.0,4.0,0.1,1,-1,-1.0
edge_infeas_26_N30_M200,50,1.0,4.0,0.1,2,-1,-1.0
dist_corner_31_N15_M150,50,1.0,4.0,0.1,1,16694,372.7724
dist_cluster_35_N30_M300,50,1.0,4.0,0.1,2,28623,401.6701
edge_N1_23_N1_M300,50,1.0,4.0,0.1,0,7689,84.2401
dist_cluster_35_N30_M300,50,1.0,4.0,0.1,1,27947,387.9729
dist_corner_31_N15_M150,50,1.0,4.0,0.1,2,16617,384.9934
dist_cluster_35_N30_M300,50,1.0,4.0,0.1,0,27764,390.7063
dist_corner_31_N15_M150,50,1.0,4.0,0.1,0,16614,368.5366
edge_N1_23_N1_M300,50,1.0,4.0,0.1,2,7648,284.011
edge_N1_23_N1_M300,50,1.0,4.0,0.1,1,7299,57.9223
edge_dense_30_N50_M1000,50,2.0,4.0,0.1,1,1430,0.0008
edge_dense_30_N50_M1000,50,2.0,4.0,0.1,0,1430,0.0004
edge_dense_30_N50_M1000,50,2.0,4.0,0.1,2,1430,0.001
edge_sparse_27_N40_M800,50,2.0,4.0,0.1,0,506647,425.0051
dist_diagonal_39_N50_M800,50,2.0,4.0,0.1,1,224436,793.3907
dist_diagonal_39_N50_M800,50,2.0,4.0,0.1,0,228300,853.8309
dist_diagonal_39_N50_M800,50,2.0,4.0,0.1,2,191947,988.6176
medium_09_N15_M150,50,1.0,4.0,0.1,0,25647,75.0119
medium_09_N15_M150,50,1.0,4.0,0.1,1,27089,396.9617
medium_09_N15_M150,50,1.0,4.0,0.1,2,25895,253.3213
edge_sparse_27_N40_M800,50,2.0,4.0,0.1,2,503250,615.4324
large_18_N40_M500,50,2.0,4.0,0.1,0,218684,689.8703
large_18_N40_M500,50,2.0,4.0,0.1,2,211364,831.4676
large_20_N50_M800,50,2.0,4.0,0.1,1,566389,775.9029
large_18_N40_M500,50,2.0,4.0,0.1,1,192362,834.99
large_22_N50_M1000,50,2.0,4.0,0.1,0,763136,828.4151
small_01_N2_M5,50,1.0,4.0,0.1,0,148,0.0001
small_01_N2_M5,50,1.0,4.0,0.1,1,148,0.0
small_01_N2_M5,50,1.0,4.0,0.1,2,148,0.0
edge_sparse_27_N40_M800,50,2.0,4.0,0.1,1,444355,834.8867
small_03_N5_M10,50,1.0,4.0,0.1,0,576,0.0016
large_20_N50_M800,50,2.0,4.0,0.1,0,555974,820.8344
large_20_N50_M800,50,2.0,4.0,0.1,2,554657,816.5843
medium_15_N30_M300,50,1.0,4.0,0.1,0,91665,391.2025
small_03_N5_M10,50,1.0,4.0,0.1,2,576,0.0006
small_03_N5_M10,50,1.0,4.0,0.1,1,576,0.0009
small_05_N10_M20,50,1.0,4.0,0.1,0,1242,0.0035
small_05_N10_M20,50,1.0,4.0,0.1,1,1242,1.6262
small_05_N10_M20,50,1.0,4.0,0.1,2,1242,0.5555
medium_15_N30_M300,50,1.0,4.0,0.1,1,84573,375.8991
large_22_N50_M1000,50,2.0,4.0,0.1,2,676378,802.3028
medium_15_N30_M300,50,1.0,4.0,0.1,2,79212,401.8658
large_22_N50_M1000,50,2.0,4.0,0.1,1,612768,857.997
medium_17_N35_M400,50,1.0,4.0,0.1,0,131291,237.8123
medium_17_N35_M400,50,1.0,4.0,0.1,1,122068,375.698
medium_17_N35_M400,50,1.0,4.0,0.1,2,130228,345.5553
