testcase,alpha,max_no_improve,reheat_ratio,k,cost,t_best
edge_infeas_26_N30_M200,0.999,1000,0.3,0,-1,-1.0
edge_infeas_26_N30_M200,0.999,1000,0.3,1,-1,-1.0
edge_infeas_26_N30_M200,0.999,1000,0.3,2,-1,-1.0
dist_cluster_35_N30_M300,0.999,1000,0.3,0,29221,350.322266
dist_cluster_35_N30_M300,0.999,1000,0.3,1,29163,75.915006
dist_cluster_35_N30_M300,0.999,1000,0.3,2,29301,91.507721
dist_corner_31_N15_M150,0.999,1000,0.3,1,16651,27.580796
dist_corner_31_N15_M150,0.999,1000,0.3,2,16569,102.204966
dist_corner_31_N15_M150,0.999,1000,0.3,0,16568,111.723007
edge_N1_23_N1_M300,0.999,1000,0.3,1,16308,345.16674
edge_N1_23_N1_M300,0.999,1000,0.3,2,16547,386.911609
edge_N1_23_N1_M300,0.999,1000,0.3,0,15191,109.349464
edge_dense_30_N50_M1000,0.995,2000,0.3,0,1430,40.943282
dist_diagonal_39_N50_M800,0.995,2000,0.3,0,182271,23.112976
edge_dense_30_N50_M1000,0.995,2000,0.3,2,1430,42.06108
edge_dense_30_N50_M1000,0.995,2000,0.3,1,1430,55.685722
dist_diagonal_39_N50_M800,0.995,2000,0.3,2,184813,15.754598
dist_diagonal_39_N50_M800,0.995,2000,0.3,1,176704,341.461216
edge_sparse_27_N40_M800,0.995,2000,0.3,0,372573,103.367141
medium_09_N15_M150,0.999,1000,0.3,0,28592,340.309318
medium_09_N15_M150,0.999,1000,0.3,2,28306,106.319808
medium_15_N30_M300,0.999,1000,0.3,0,82824,329.010642
medium_09_N15_M150,0.999,1000,0.3,1,27108,362.112919
large_18_N40_M500,0.995,2000,0.3,2,192650,0.714582
medium_15_N30_M300,0.999,1000,0.3,1,82568,140.224084
large_18_N40_M500,0.995,2000,0.3,0,192650,0.888178
large_18_N40_M500,0.995,2000,0.3,1,191585,491.346879
edge_sparse_27_N40_M800,0.995,2000,0.3,1,369577,178.331564
edge_sparse_27_N40_M800,0.995,2000,0.3,2,371844,631.617386
large_20_N50_M800,0.995,2000,0.3,0,374827,1.855607
large_22_N50_M1000,0.995,2000,0.3,0,503061,603.169879
large_20_N50_M800,0.995,2000,0.3,1,374474,1.727115
large_20_N50_M800,0.995,2000,0.3,2,374485,488.024257
small_01_N2_M5,0.99,1000,0.2,0,148,0.619474
small_01_N2_M5,0.99,1000,0.2,1,148,9.1e-05
small_01_N2_M5,0.99,1000,0.2,2,148,0.213064
small_03_N5_M10,0.99,1000,0.2,0,576,0.556861
small_03_N5_M10,0.99,1000,0.2,1,576,0.209171
small_03_N5_M10,0.99,1000,0.2,2,576,0.343395
small_05_N10_M20,0.99,1000,0.2,0,1304,6.043693
small_05_N10_M20,0.99,1000,0.2,1,1242,8.029668
small_05_N10_M20,0.99,1000,0.2,2,1242,13.36235
large_22_N50_M1000,0.995,2000,0.3,2,514999,625.128689
large_22_N50_M1000,0.995,2000,0.3,1,512699,144.462909
medium_15_N30_M300,0.999,1000,0.3,2,84137,304.499055
medium_17_N35_M400,0.999,1000,0.3,0,121150,303.927914
medium_17_N35_M400,0.999,1000,0.3,2,122032,304.089942
medium_17_N35_M400,0.999,1000,0.3,1,123438,285.606793
