testcase,num_search_workers,cost_min,cost_max,cost_avg,cost_std,t_best_avg
dist_cluster_35_N30_M300,0,23698,23698,23698,0.0,359.9136
dist_corner_31_N15_M150,0,15895,15895,15895,0.0,6.4112
edge_N1_23_N1_M300,0,7230,7230,7230,0.0,220.6774
edge_infeas_26_N30_M200,0,-1,-1,-1,0.0,-1.0
medium_09_N15_M150,0,24865,24865,24865,0.0,88.1234
medium_15_N30_M300,0,98183,98183,98183,0.0,21.4826
medium_17_N35_M400,0,103693,103693,103693,0.0,387.6525
small_01_N2_M5,0,148,148,148,0.0,0.0052
small_03_N5_M10,0,576,576,576,0.0,0.0582
small_05_N10_M20,0,1242,1242,1242,0.0,0.0365
