testcase,cost_min,cost_max,cost_avg,cost_std,t_best_avg
dist_cluster_35_N30_M300,24626,25027,24874.333333,177.133346,280.2204
dist_corner_31_N15_M150,16440,16496,16477.333333,26.398653,22.3525
dist_diagonal_39_N50_M800,161460,165452,163392.0,1632.238545,729.636567
edge_N1_23_N1_M300,7963,9759,8752.0,749.242729,151.587867
edge_dense_30_N50_M1000,1430,1430,1430.0,0.0,2.127367
edge_infeas_26_N30_M200,-1,-1,-1,-1,-1
edge_sparse_27_N40_M800,326218,335199,331561.333333,3859.755116,806.5035
large_18_N40_M500,170682,175150,173549.333333,2032.090768,540.586333
large_20_N50_M800,352227,355809,354499.333333,1613.015051,665.1348
large_22_N50_M1000,473556,482802,477382.666667,3939.083593,691.2519
medium_09_N15_M150,25909,25971,25941.333333,25.381533,96.160367
medium_15_N30_M300,76145,76719,76489.0,247.811757,199.9509
medium_17_N35_M400,105155,107579,106208.333333,1014.714848,335.530433
small_01_N2_M5,148,148,148.0,0.0,0.000467
small_03_N5_M10,576,576,576.0,0.0,0.0004
small_05_N10_M20,1318,1318,1318.0,0.0,0.004767
