testcase,pop_size,crossover_rate,mutation_rate,k,cost,t_best
edge_infeas_26_N30_M200,200,0.9,0.05,0,-1,-1.0
edge_infeas_26_N30_M200,200,0.9,0.05,1,-1,-1.0
edge_infeas_26_N30_M200,200,0.9,0.05,2,-1,-1.0
dist_corner_31_N15_M150,200,0.9,0.05,2,16440,60.5494
dist_corner_31_N15_M150,200,0.9,0.05,1,16496,3.5588
dist_cluster_35_N30_M300,200,0.9,0.05,2,24626,106.6257
edge_N1_23_N1_M300,200,0.9,0.05,0,7963,331.0835
dist_corner_31_N15_M150,200,0.9,0.05,0,16496,2.9493
dist_cluster_35_N30_M300,200,0.9,0.05,1,25027,345.6018
edge_N1_23_N1_M300,200,0.9,0.05,1,8534,20.5557
edge_N1_23_N1_M300,200,0.9,0.05,2,9759,103.1244
dist_cluster_35_N30_M300,200,0.9,0.05,0,24970,388.4337
edge_dense_30_N50_M1000,100,0.9,0.05,2,1430,0.1065
edge_dense_30_N50_M1000,100,0.9,0.05,1,1430,6.2643
edge_dense_30_N50_M1000,100,0.9,0.05,0,1430,0.0113
dist_diagonal_39_N50_M800,100,0.9,0.05,1,165452,693.5353
dist_diagonal_39_N50_M800,100,0.9,0.05,2,163264,710.7618
dist_diagonal_39_N50_M800,100,0.9,0.05,0,161460,784.6126
edge_sparse_27_N40_M800,100,0.9,0.05,0,333267,788.6251
large_18_N40_M500,100,0.9,0.05,0,175150,620.2688
medium_09_N15_M150,200,0.9,0.05,0,25944,2.4151
medium_09_N15_M150,200,0.9,0.05,1,25971,32.2205
large_18_N40_M500,100,0.9,0.05,2,170682,604.198
large_20_N50_M800,100,0.9,0.05,2,352227,663.5854
small_01_N2_M5,100,0.7,0.2,0,148,0.001
medium_09_N15_M150,200,0.9,0.05,2,25909,253.8455
large_18_N40_M500,100,0.9,0.05,1,174816,397.2922
small_01_N2_M5,100,0.7,0.2,1,148,0.0002
small_01_N2_M5,100,0.7,0.2,2,148,0.0002
medium_15_N30_M300,200,0.9,0.05,1,76719,85.3678
large_22_N50_M1000,100,0.9,0.05,0,482802,677.023
medium_15_N30_M300,200,0.9,0.05,0,76603,336.0777
small_03_N5_M10,100,0.7,0.2,0,576,0.0004
small_03_N5_M10,100,0.7,0.2,1,576,0.0004
small_03_N5_M10,100,0.7,0.2,2,576,0.0004
small_05_N10_M20,100,0.7,0.2,0,1318,0.0053
small_05_N10_M20,100,0.7,0.2,1,1318,0.0043
small_05_N10_M20,100,0.7,0.2,2,1318,0.0047
large_20_N50_M800,100,0.9,0.05,1,355809,481.2648
edge_sparse_27_N40_M800,100,0.9,0.05,2,326218,771.4344
large_20_N50_M800,100,0.9,0.05,0,355462,850.5542
edge_sparse_27_N40_M800,100,0.9,0.05,1,335199,859.451
large_22_N50_M1000,100,0.9,0.05,1,473556,727.3522
medium_15_N30_M300,200,0.9,0.05,2,76145,178.4072
medium_17_N35_M400,200,0.9,0.05,0,105155,402.904
large_22_N50_M1000,100,0.9,0.05,2,475790,669.3805
medium_17_N35_M400,200,0.9,0.05,1,107579,224.0014
medium_17_N35_M400,200,0.9,0.05,2,105891,379.6859
