testcase,cost_min,cost_max,cost_avg,cost_std,t_best_avg
dist_cluster_35_N30_M300,32553,32553,32553,0.0,0.1257
dist_corner_31_N15_M150,19779,19779,19779,0.0,0.0154
dist_diagonal_39_N50_M800,198948,198948,198948,0.0,1.3993
edge_N1_23_N1_M300,8929,8929,8929,0.0,0.0019
edge_dense_30_N50_M1000,1430,1430,1430,0.0,0.0071
edge_infeas_26_N30_M200,-1,-1,-1,0.0,-1.0
edge_sparse_27_N40_M800,449739,449739,449739,0.0,0.8467
large_18_N40_M500,222647,222647,222647,0.0,0.4567
large_20_N50_M800,436191,436191,436191,0.0,1.348
large_22_N50_M1000,574906,574906,574906,0.0,2.1587
medium_09_N15_M150,31679,31679,31679,0.0,0.0163
medium_15_N30_M300,92396,92396,92396,0.0,0.1145
medium_17_N35_M400,144581,144581,144581,0.0,0.236
small_01_N2_M5,227,227,227,0.0,0.0
small_03_N5_M10,799,799,799,0.0,0.0001
small_05_N10_M20,1546,1546,1546,0.0,0.0002
