testcase,metaheuristic,cost_min,cost_max,cost_avg,cost_std,t_best_avg
dist_cluster_35_N30_M300,GUIDED_LOCAL_SEARCH,25888,25888,25888,0.0,300.0
dist_corner_31_N15_M150,GUIDED_LOCAL_SEARCH,16076,16076,16076,0.0,300.0
dist_diagonal_39_N50_M800,GUIDED_LOCAL_SEARCH,164308,164308,164308,0.0,120.0
edge_N1_23_N1_M300,GUIDED_LOCAL_SEARCH,7640,7640,7640,0.0,30.0
edge_dense_30_N50_M1000,GUIDED_LOCAL_SEARCH,1430,1430,1430,0.0,10.0
edge_infeas_26_N30_M200,GUIDED_LOCAL_SEARCH,-1,-1,-1,0.0,-1.0
edge_sparse_27_N40_M800,GUIDED_LOCAL_SEARCH,267112,267112,267112,0.0,600.0
large_18_N40_M500,GUIDED_LOCAL_SEARCH,166750,166750,166750,0.0,700.0
large_20_N50_M800,GUIDED_LOCAL_SEARCH,345590,345590,345590,0.0,700.0
large_22_N50_M1000,GUIDED_LOCAL_SEARCH,471261,471261,471261,0.0,120.0
medium_09_N15_M150,GUIDED_LOCAL_SEARCH,25333,25333,25333,0.0,400.0
medium_15_N30_M300,GUIDED_LOCAL_SEARCH,75693,75693,75693,0.0,300.0
medium_17_N35_M400,GUIDED_LOCAL_SEARCH,113308,113308,113308,0.0,300.0
small_01_N2_M5,GUIDED_LOCAL_SEARCH,148,148,148,0.0,10.0
small_03_N5_M10,GUIDED_LOCAL_SEARCH,576,576,576,0.0,10.0
small_05_N10_M20,GUIDED_LOCAL_SEARCH,1242,1242,1242,0.0,10.0
