testcase,ACO_cost_min,ACO_cost_max,ACO_cost_avg,ACO_t_best_avg,ACO_RPD,ASA_cost_min,ASA_cost_max,ASA_cost_avg,ASA_t_best_avg,ASA_RPD,CPSAT_cost_min,CPSAT_cost_max,CPSAT_cost_avg,CPSAT_t_best_avg,CPSAT_RPD,GA_cost_min,GA_cost_max,GA_cost_avg,GA_t_best_avg,GA_RPD,GREEDY_cost_min,GREEDY_cost_max,GREEDY_cost_avg,GREEDY_t_best_avg,GREEDY_RPD,PYWRAPCP_cost_min,PYWRAPCP_cost_max,PYWRAPCP_cost_avg,PYWRAPCP_t_best_avg,PYWRAPCP_RPD,cost_reference
small_01_N2_M5,148.0,148.0,148.0,3.3e-05,0.0,148.0,148.0,148.0,0.277543,0.0,148.0,148.0,148.0,0.0052,0.0,148.0,148.0,148.0,0.000467,0.0,227.0,227.0,227.0,0.0,53.38,148.0,148.0,148.0,10.0,0.0,148
small_03_N5_M10,576.0,576.0,576.0,0.001033,0.0,576.0,576.0,576.0,0.369809,0.0,576.0,576.0,576.0,0.0582,0.0,576.0,576.0,576.0,0.0004,0.0,799.0,799.0,799.0,0.0001,38.72,576.0,576.0,576.0,10.0,0.0,576
small_05_N10_M20,1242.0,1242.0,1242.0,0.7284,0.0,1242.0,1304.0,1262.666667,9.145237,1.66,1242.0,1242.0,1242.0,0.0365,0.0,1318.0,1318.0,1318.0,0.004767,6.12,1546.0,1546.0,1546.0,0.0002,24.48,1242.0,1242.0,1242.0,10.0,0.0,1242
edge_N1_23_N1_M300,7299.0,7689.0,7545.333333,142.0578,4.36,15191.0,16547.0,16015.333333,280.475938,121.51,7230.0,7230.0,7230.0,220.6774,0.0,7963.0,9759.0,8752.0,151.587867,21.05,8929.0,8929.0,8929.0,0.0019,23.5,7640.0,7640.0,7640.0,30.0,5.67,7230
medium_09_N15_M150,25647.0,27089.0,26210.333333,241.764967,5.41,27108.0,28592.0,28002.0,269.580682,12.62,24865.0,24865.0,24865.0,88.1234,0.0,25909.0,25971.0,25941.333333,96.160367,4.33,31679.0,31679.0,31679.0,0.0163,27.4,25333.0,25333.0,25333.0,400.0,1.88,24865
medium_15_N30_M300,79212.0,91665.0,85150.0,389.6558,12.49,82568.0,84137.0,83176.333333,257.91126,9.89,98183.0,98183.0,98183.0,21.4826,29.71,76145.0,76719.0,76489.0,199.9509,1.05,92396.0,92396.0,92396.0,0.1145,22.07,75693.0,75693.0,75693.0,300.0,0.0,75693
medium_17_N35_M400,122068.0,131291.0,127862.333333,319.688533,23.31,121150.0,123438.0,122206.666667,297.874883,17.85,103693.0,103693.0,103693.0,387.6525,0.0,105155.0,107579.0,106208.333333,335.530433,2.43,144581.0,144581.0,144581.0,0.236,39.43,113308.0,113308.0,113308.0,300.0,9.27,103693
dist_corner_31_N15_M150,16614.0,16694.0,16641.666667,375.434133,4.7,16568.0,16651.0,16596.0,80.502923,4.41,15895.0,15895.0,15895.0,6.4112,0.0,16440.0,16496.0,16477.333333,22.3525,3.66,19779.0,19779.0,19779.0,0.0154,24.44,16076.0,16076.0,16076.0,300.0,1.14,15895
dist_cluster_35_N30_M300,27764.0,28623.0,28111.333333,393.449767,18.62,29163.0,29301.0,29228.333333,172.581664,23.34,23698.0,23698.0,23698.0,359.9136,0.0,24626.0,25027.0,24874.333333,280.2204,4.96,32553.0,32553.0,32553.0,0.1257,37.37,25888.0,25888.0,25888.0,300.0,9.24,23698
large_18_N40_M500,192362.0,218684.0,207470.0,785.442633,24.42,191585.0,192650.0,192295.0,164.316546,15.32,,,,,,170682.0,175150.0,173549.333333,540.586333,4.08,222647.0,222647.0,222647.0,0.4567,33.52,166750.0,166750.0,166750.0,700.0,0.0,166750
large_20_N50_M800,554657.0,566389.0,559006.666667,804.440533,61.75,374474.0,374827.0,374595.333333,163.868993,8.39,,,,,,352227.0,355809.0,354499.333333,665.1348,2.58,436191.0,436191.0,436191.0,1.348,26.22,345590.0,345590.0,345590.0,700.0,0.0,345590
large_22_N50_M1000,612768.0,763136.0,684094.0,829.571633,45.16,503061.0,514999.0,510253.0,457.587159,8.27,,,,,,473556.0,482802.0,477382.666667,691.2519,1.3,574906.0,574906.0,574906.0,2.1587,21.99,471261.0,471261.0,471261.0,120.0,0.0,471261
edge_sparse_27_N40_M800,444355.0,506647.0,484750.666667,625.108067,81.48,369577.0,372573.0,371331.333333,304.438697,39.02,,,,,,326218.0,335199.0,331561.333333,806.5035,24.13,449739.0,449739.0,449739.0,0.8467,68.37,267112.0,267112.0,267112.0,600.0,0.0,267112
edge_dense_30_N50_M1000,1430.0,1430.0,1430.0,0.000733,0.0,1430.0,1430.0,1430.0,46.230028,0.0,,,,,,1430.0,1430.0,1430.0,2.127367,0.0,1430.0,1430.0,1430.0,0.0071,0.0,1430.0,1430.0,1430.0,10.0,0.0,1430
dist_diagonal_39_N50_M800,191947.0,228300.0,214894.333333,878.613067,33.09,176704.0,184813.0,181262.666667,126.776263,12.26,,,,,,161460.0,165452.0,163392.0,729.636567,1.2,198948.0,198948.0,198948.0,1.3993,23.22,164308.0,164308.0,164308.0,120.0,1.76,161460
